player_name,bid_no,team,bid_amount,status,year
Mohammed Shami,12,PBKS,2.02148E+11,,2025
Mohammed Shami,1,SRH,20000000,,2025
Mohammed Shami,5,SRH,100000000,,2025
Mohammed Siraj,1,GT,20000000,,2025
Mohammed Siraj,3,GT,117500000,,2025
Mohammed Siraj,5,GT,122500000,,2025
Mohammed Siraj,7,RCB,2.01826E+11,,2025
Mohammed Siraj,8,RCB,2.01926E+11,,2025
Mohammed Siraj,9,RCB,2.02026E+11,,2025
Mohammed Siraj,10,RCB,2.02126E+11,,2025
Mohammed Siraj,11,RCB,2.0227E+11,,2025
Mohammed Siraj,12,RCB,2.0237E+11,,2025
Mohammed Siraj,13,RCB,2.0247E+11,SOLD,2025
Mohammed Siraj,2,RR,115000000,,2025
Mohammed Siraj,4,RR,120000000,,2025
Mohammed Siraj,6,SRH,2.01726E+11,,2025
Mohit Rathee,1,RCB,3000000,SOLD,2025
Mohit Rathee,1,Punjab Kings,2000000,SOLD,2023
Mohit Sharma,1,DC,5000000,,2025
Mohit Sharma,3,DC,19000000,,2025
Mohit Sharma,5,DC,22000000,SOLD,2025
Mohit Sharma,2,GT,18000000,,2025
Mohit Sharma,4,GT,20000000,,2025
Mohit Sharma,1,Gujarat Titans,5000000,SOLD,2023
Mujeeb Ur Rahman,1,KKR,20000000,SOLD,2024
Mukesh Choudhary,1,CSK,3000000,,2025
Mukesh Choudhary,2,CSK,20222000000,,2025
Mukesh Choudhary,3,CSK,20232000000,,2025
Mukesh Choudhary,4,CSK,20242000000,SOLD,2025
Mukesh Kumar,35,Punjab Kings,36000000,,2023
Mukesh Kumar,19,Punjab Kings,12000000,,2023
Mukesh Kumar,27,Punjab Kings,20000000,,2023
Mukesh Kumar,33,Punjab Kings,32000000,,2023
Mukesh Kumar,21,Punjab Kings,14000000,,2023
Mukesh Kumar,25,Punjab Kings,18000000,,2023
Mukesh Kumar,41,Punjab Kings,48000000,,2023
Mukesh Kumar,31,Punjab Kings,28000000,,2023
Mukesh Kumar,39,Punjab Kings,44000000,,2023
Mukesh Kumar,23,Punjab Kings,16000000,,2023
Mukesh Kumar,43,Punjab Kings,52500000,,2023
Mukesh Kumar,29,Punjab Kings,24000000,,2023
Mukesh Kumar,37,Punjab Kings,40000000,,2023
Mukesh Kumar,26,Delhi Capitals,19000000,,2023
Mukesh Kumar,22,Delhi Capitals,15000000,,2023
Mukesh Kumar,44,Delhi Capitals,55000000,SOLD,2023
Mukesh Kumar,42,Delhi Capitals,50000000,,2023
Mukesh Kumar,40,Delhi Capitals,46000000,,2023
Mukesh Kumar,14,Delhi Capitals,8500000,,2023
Mukesh Kumar,38,Delhi Capitals,42000000,,2023
Mukesh Kumar,6,Delhi Capitals,4500000,,2023
Mukesh Kumar,10,Delhi Capitals,6500000,,2023
Mukesh Kumar,20,Delhi Capitals,13000000,,2023
Mukesh Kumar,24,Delhi Capitals,17000000,,2023
Mukesh Kumar,16,Delhi Capitals,9500000,,2023
Mukesh Kumar,4,Delhi Capitals,3500000,,2023
Mukesh Kumar,12,Delhi Capitals,7500000,,2023
Mukesh Kumar,34,Delhi Capitals,34000000,,2023
Mukesh Kumar,30,Delhi Capitals,26000000,,2023
Mukesh Kumar,36,Delhi Capitals,38000000,,2023
Mukesh Kumar,8,Delhi Capitals,5500000,,2023
Mukesh Kumar,18,Delhi Capitals,11000000,,2023
Mukesh Kumar,28,Delhi Capitals,22000000,,2023
Mukesh Kumar,32,Delhi Capitals,30000000,,2023
Mukesh Kumar,2,Delhi Capitals,2500000,,2023
Mukesh Kumar,9,Chennai Super Kings,6000000,,2023
Mukesh Kumar,7,Chennai Super Kings,5000000,,2023
Mukesh Kumar,11,Chennai Super Kings,7000000,,2023
Mukesh Kumar,17,Chennai Super Kings,10000000,,2023
Mukesh Kumar,5,Chennai Super Kings,4000000,,2023
Mukesh Kumar,15,Chennai Super Kings,9000000,,2023
Mukesh Kumar,13,Chennai Super Kings,8000000,,2023
Mukesh Kumar,3,Chennai Super Kings,3000000,,2023
Mukesh Kumar,1,Chennai Super Kings,2000000,,2023
Murugan Ashwin,1,Rajasthan Royals,2000000,SOLD,2023
Musheer Khan,1,PBKS,3000000,SOLD,2025
Mustafizur Rahman,1,CSK,20000000,SOLD,2024
N Jagadeesan,8,Chennai Super Kings,5500000,,2023
N Jagadeesan,14,Chennai Super Kings,8500000,,2023
N Jagadeesan,10,Chennai Super Kings,6500000,,2023
N Jagadeesan,6,Chennai Super Kings,4500000,,2023
N Jagadeesan,4,Chennai Super Kings,3500000,,2023
N Jagadeesan,12,Chennai Super Kings,7500000,,2023
N Jagadeesan,2,Chennai Super Kings,2500000,,2023
N Jagadeesan,15,Kolkata Knight Riders,9000000,SOLD,2023
N Jagadeesan,3,Kolkata Knight Riders,3000000,,2023
N Jagadeesan,7,Kolkata Knight Riders,5000000,,2023
N Jagadeesan,9,Kolkata Knight Riders,6000000,,2023
N Jagadeesan,5,Kolkata Knight Riders,4000000,,2023
N Jagadeesan,1,Kolkata Knight Riders,2000000,,2023
N Jagadeesan,11,Kolkata Knight Riders,7000000,,2023
N Jagadeesan,13,Kolkata Knight Riders,8000000,,2023
Naman Dhir,1,MI,2000000,SOLD,2024
Nandre Burger,1,RR,5000000,SOLD,2024
Nathan Ellis,1,CSK,12500000,,2025
Nathan Ellis,4,CSK,14000000,,2025
Nathan Ellis,5,CSK,20000000,,2025
Nathan Ellis,2,PBKS,13000000,,2025
Nathan Ellis,3,PBKS,14000000,,2025
Nathan Ellis,6,PBKS,20212000000,,2025
Nathan Ellis,7,PBKS,20227500000,,2025
Nathan Ellis,8,PBKS,20237500000,,2025
Nathan Ellis,9,PBKS,20247500000,SOLD,2025
Naveen-ul-Haq,1,Lucknow Super Giants,5000000,SOLD,2023
Nehal Wadhera,4,DC,40000000,,2025
Nehal Wadhera,2,GT,36000000,,2025
Nehal Wadhera,1,PBKS,3000000,,2025
Nehal Wadhera,3,PBKS,38000000,,2025
Nehal Wadhera,5,PBKS,42000000,SOLD,2025
Nehal Wadhera,1,Mumbai Indians,2000000,SOLD,2023
Nicholas Pooran,41,Delhi Capitals,112500000,,2023
Nicholas Pooran,59,Delhi Capitals,157500000,,2023
Nicholas Pooran,19,Delhi Capitals,57500000,,2023
Nicholas Pooran,35,Delhi Capitals,97500000,,2023
Nicholas Pooran,39,Delhi Capitals,107500000,,2023
Nicholas Pooran,37,Delhi Capitals,102500000,,2023
Nicholas Pooran,33,Delhi Capitals,92500000,,2023
Nicholas Pooran,11,Delhi Capitals,40000000,,2023
Nicholas Pooran,17,Delhi Capitals,52500000,,2023
Nicholas Pooran,53,Delhi Capitals,142500000,,2023
Nicholas Pooran,47,Delhi Capitals,127500000,,2023
Nicholas Pooran,15,Delhi Capitals,48000000,,2023
Nicholas Pooran,21,Delhi Capitals,62500000,,2023
Nicholas Pooran,45,Delhi Capitals,122500000,,2023
Nicholas Pooran,31,Delhi Capitals,87500000,,2023
Nicholas Pooran,55,Delhi Capitals,147500000,,2023
Nicholas Pooran,43,Delhi Capitals,117500000,,2023
Nicholas Pooran,25,Delhi Capitals,72500000,,2023
Nicholas Pooran,23,Delhi Capitals,67500000,,2023
Nicholas Pooran,27,Delhi Capitals,77500000,,2023
Nicholas Pooran,29,Delhi Capitals,82500000,,2023
Nicholas Pooran,13,Delhi Capitals,44000000,,2023
Nicholas Pooran,49,Delhi Capitals,132500000,,2023
Nicholas Pooran,57,Delhi Capitals,152500000,,2023
Nicholas Pooran,51,Delhi Capitals,137500000,,2023
Nicholas Pooran,9,Delhi Capitals,36000000,,2023
Nicholas Pooran,2,Rajasthan Royals,22000000,,2023
Nicholas Pooran,20,Rajasthan Royals,60000000,,2023
Nicholas Pooran,10,Rajasthan Royals,38000000,,2023
Nicholas Pooran,22,Rajasthan Royals,65000000,,2023
Nicholas Pooran,24,Rajasthan Royals,70000000,,2023
Nicholas Pooran,16,Rajasthan Royals,50000000,,2023
Nicholas Pooran,6,Rajasthan Royals,30000000,,2023
Nicholas Pooran,4,Rajasthan Royals,26000000,,2023
Nicholas Pooran,8,Rajasthan Royals,34000000,,2023
Nicholas Pooran,18,Rajasthan Royals,55000000,,2023
Nicholas Pooran,14,Rajasthan Royals,46000000,,2023
Nicholas Pooran,12,Rajasthan Royals,42000000,,2023
Nicholas Pooran,7,Chennai Super Kings,32000000,,2023
Nicholas Pooran,1,Chennai Super Kings,20000000,,2023
Nicholas Pooran,3,Chennai Super Kings,24000000,,2023
Nicholas Pooran,5,Chennai Super Kings,28000000,,2023
Nicholas Pooran,26,Lucknow Super Giants,75000000,,2023
Nicholas Pooran,30,Lucknow Super Giants,85000000,,2023
Nicholas Pooran,36,Lucknow Super Giants,100000000,,2023
Nicholas Pooran,58,Lucknow Super Giants,155000000,,2023
Nicholas Pooran,60,Lucknow Super Giants,160000000,SOLD,2023
Nicholas Pooran,40,Lucknow Super Giants,110000000,,2023
Nicholas Pooran,42,Lucknow Super Giants,115000000,,2023
Nicholas Pooran,34,Lucknow Super Giants,95000000,,2023
Nicholas Pooran,54,Lucknow Super Giants,145000000,,2023
Nicholas Pooran,28,Lucknow Super Giants,80000000,,2023
Nicholas Pooran,56,Lucknow Super Giants,150000000,,2023
Nicholas Pooran,46,Lucknow Super Giants,125000000,,2023
Nicholas Pooran,50,Lucknow Super Giants,135000000,,2023
Nicholas Pooran,48,Lucknow Super Giants,130000000,,2023
Nicholas Pooran,32,Lucknow Super Giants,90000000,,2023
Nicholas Pooran,52,Lucknow Super Giants,140000000,,2023
Nicholas Pooran,38,Lucknow Super Giants,105000000,,2023
Nicholas Pooran,44,Lucknow Super Giants,120000000,,2023
Nishant Sindhu,1,GT,3000000,SOLD,2025
Nishant Sindhu,1,Chennai Super Kings,2000000,,2023
Nishant Sindhu,3,Chennai Super Kings,3000000,,2023
Nishant Sindhu,5,Chennai Super Kings,4000000,,2023
Nishant Sindhu,9,Chennai Super Kings,6000000,SOLD,2023
Nishant Sindhu,7,Chennai Super Kings,5000000,,2023
Nishant Sindhu,2,Kolkata Knight Riders,2500000,,2023
Nishant Sindhu,8,Kolkata Knight Riders,5500000,,2023
Nishant Sindhu,4,Kolkata Knight Riders,3500000,,2023
Nishant Sindhu,6,Kolkata Knight Riders,4500000,,2023
Nitish Rana,9,KKR,2.01834E+11,,2025
Nitish Rana,10,KKR,2.01934E+11,,2025
Nitish Rana,11,KKR,2.02034E+11,,2025
Nitish Rana,12,KKR,2.02134E+11,,2025
Nitish Rana,13,KKR,2.0228E+11,,2025
Nitish Rana,14,KKR,2.0238E+11,,2025
Nitish Rana,16,KKR,2.0248E+11,SOLD,2025
Nitish Rana,6,MI,20151000000,,2025
Nitish Rana,7,MI,20161000000,,2025
Nitish Rana,8,MI,20171000000,,2025
Nitish Rana,15,MI,2.0248E+11,,2025
Nitish Rana,2,RCB,36000000,,2025
Nitish Rana,4,RCB,40000000,,2025
Nitish Rana,1,RR,15000000,,2025
Nitish Rana,3,RR,38000000,,2025
Nitish Rana,5,RR,42000000,,2025
Nitish Reddy,1,Sunrisers Hyderabad,2000000,SOLD,2023
Noor Ahmad,1,CSK,20000000,,2025
Noor Ahmad,4,CSK,50000000,,2025
Noor Ahmad,5,CSK,100000000,,2025
Noor Ahmad,3,GT,50000000,,2025
Noor Ahmad,6,GT,20223000000,,2025
Noor Ahmad,7,GT,20233000000,,2025
Noor Ahmad,8,GT,20243000000,SOLD,2025
Noor Ahmad,2,MI,48000000,,2025
Nuwan Thushara,6,MI,202400000,SOLD,2025
Nuwan Thushara,1,RCB,7500000,,2025
Nuwan Thushara,3,RCB,14000000,,2025
Nuwan Thushara,5,RCB,16000000,,2025
Nuwan Thushara,2,RR,13000000,,2025
Nuwan Thushara,4,RR,15000000,,2025
Nuwan Thushara,17,MI,16000000,,2024
Nuwan Thushara,15,MI,14000000,,2024
Nuwan Thushara,23,MI,24000000,,2024
Nuwan Thushara,19,MI,18000000,,2024
Nuwan Thushara,27,MI,32000000,,2024
Nuwan Thushara,31,MI,40000000,,2024
Nuwan Thushara,35,MI,48000000,SOLD,2024
Nuwan Thushara,13,MI,12000000,,2024
Nuwan Thushara,21,MI,20000000,,2024
Nuwan Thushara,25,MI,28000000,,2024
Nuwan Thushara,29,MI,36000000,,2024
Nuwan Thushara,33,MI,44000000,,2024
Nuwan Thushara,1,KKR,5000000,,2024
Nuwan Thushara,11,KKR,10000000,,2024
Nuwan Thushara,9,KKR,9000000,,2024
Nuwan Thushara,5,KKR,7000000,,2024
Nuwan Thushara,7,KKR,8000000,,2024
Nuwan Thushara,3,KKR,6000000,,2024
Nuwan Thushara,4,RCB,6500000,,2024
Nuwan Thushara,30,RCB,38000000,,2024
Nuwan Thushara,14,RCB,13000000,,2024
Nuwan Thushara,34,RCB,46000000,,2024
Nuwan Thushara,16,RCB,15000000,,2024
Nuwan Thushara,6,RCB,7500000,,2024
Nuwan Thushara,10,RCB,9500000,,2024
Nuwan Thushara,22,RCB,22000000,,2024
Nuwan Thushara,18,RCB,17000000,,2024
Nuwan Thushara,20,RCB,19000000,,2024
Nuwan Thushara,2,RCB,5500000,,2024
Nuwan Thushara,26,RCB,30000000,,2024
Nuwan Thushara,32,RCB,42000000,,2024
Nuwan Thushara,28,RCB,34000000,,2024
Nuwan Thushara,24,RCB,26000000,,2024
Nuwan Thushara,8,RCB,8500000,,2024
Nuwan Thushara,12,RCB,11000000,,2024
Odean Smith,1,Gujarat Titans,5000000,SOLD,2023
Pat Cummins,12,MI,42000000,,2024
Pat Cummins,10,MI,38000000,,2024
Pat Cummins,14,MI,46000000,,2024
Pat Cummins,4,MI,26000000,,2024
Pat Cummins,6,MI,30000000,,2024
Pat Cummins,2,MI,22000000,,2024
Pat Cummins,8,MI,34000000,,2024
Pat Cummins,15,CSK,48000000,,2024
Pat Cummins,3,CSK,24000000,,2024
Pat Cummins,23,CSK,64000000,,2024
Pat Cummins,13,CSK,44000000,,2024
Pat Cummins,21,CSK,60000000,,2024
Pat Cummins,19,CSK,56000000,,2024
Pat Cummins,27,CSK,72000000,,2024
Pat Cummins,25,CSK,68000000,,2024
Pat Cummins,11,CSK,40000000,,2024
Pat Cummins,29,CSK,76000000,,2024
Pat Cummins,1,CSK,20000000,,2024
Pat Cummins,9,CSK,36000000,,2024
Pat Cummins,5,CSK,28000000,,2024
Pat Cummins,17,CSK,52000000,,2024
Pat Cummins,7,CSK,32000000,,2024
Pat Cummins,80,RCB,197500000,,2024
Pat Cummins,26,RCB,70000000,,2024
Pat Cummins,54,RCB,132500000,,2024
Pat Cummins,56,RCB,137500000,,2024
Pat Cummins,46,RCB,112500000,,2024
Pat Cummins,36,RCB,90000000,,2024
Pat Cummins,76,RCB,187500000,,2024
Pat Cummins,66,RCB,162500000,,2024
Pat Cummins,22,RCB,62000000,,2024
Pat Cummins,52,RCB,127500000,,2024
Pat Cummins,70,RCB,172500000,,2024
Pat Cummins,72,RCB,177500000,,2024
Pat Cummins,64,RCB,157500000,,2024
Pat Cummins,82,RCB,202500000,,2024
Pat Cummins,48,RCB,117500000,,2024
Pat Cummins,50,RCB,122500000,,2024
Pat Cummins,20,RCB,58000000,,2024
Pat Cummins,30,RCB,78000000,,2024
Pat Cummins,42,RCB,102500000,,2024
Pat Cummins,78,RCB,192500000,,2024
Pat Cummins,74,RCB,182500000,,2024
Pat Cummins,28,RCB,74000000,,2024
Pat Cummins,34,RCB,86000000,,2024
Pat Cummins,40,RCB,98000000,,2024
Pat Cummins,24,RCB,66000000,,2024
Pat Cummins,38,RCB,94000000,,2024
Pat Cummins,44,RCB,107500000,,2024
Pat Cummins,16,RCB,50000000,,2024
Pat Cummins,58,RCB,142500000,,2024
Pat Cummins,62,RCB,152500000,,2024
Pat Cummins,18,RCB,54000000,,2024
Pat Cummins,60,RCB,147500000,,2024
Pat Cummins,32,RCB,82000000,,2024
Pat Cummins,68,RCB,167500000,,2024
Pat Cummins,49,SRH,120000000,,2024
Pat Cummins,77,SRH,190000000,,2024
Pat Cummins,79,SRH,195000000,,2024
Pat Cummins,59,SRH,145000000,,2024
Pat Cummins,83,SRH,205000000,SOLD,2024
Pat Cummins,57,SRH,140000000,,2024
Pat Cummins,61,SRH,150000000,,2024
Pat Cummins,55,SRH,135000000,,2024
Pat Cummins,73,SRH,180000000,,2024
Pat Cummins,37,SRH,92000000,,2024
Pat Cummins,63,SRH,155000000,,2024
Pat Cummins,47,SRH,115000000,,2024
Pat Cummins,51,SRH,125000000,,2024
Pat Cummins,39,SRH,96000000,,2024
Pat Cummins,41,SRH,100000000,,2024
Pat Cummins,69,SRH,170000000,,2024
Pat Cummins,81,SRH,200000000,,2024
Pat Cummins,65,SRH,160000000,,2024
Pat Cummins,71,SRH,175000000,,2024
Pat Cummins,67,SRH,165000000,,2024
Pat Cummins,35,SRH,88000000,,2024
Pat Cummins,45,SRH,110000000,,2024
Pat Cummins,33,SRH,84000000,,2024
Pat Cummins,75,SRH,185000000,,2024
Pat Cummins,43,SRH,105000000,,2024
Pat Cummins,31,SRH,80000000,,2024
Pat Cummins,53,SRH,130000000,,2024
Philip Salt,2,KKR,107500000,,2025
Philip Salt,4,KKR,112500000,,2025
Philip Salt,1,RCB,20000000,,2025
Philip Salt,3,RCB,110000000,,2025
Philip Salt,5,RCB,115000000,SOLD,2025
Philip Salt,1,Delhi Capitals,20000000,SOLD,2023
Piyush Chawla,1,Mumbai Indians,5000000,SOLD,2023
Prasidh Krishna,1,GT,20000000,,2025
Prasidh Krishna,3,GT,90000000,,2025
Prasidh Krishna,5,GT,95000000,,2025
Prasidh Krishna,6,KKR,20182000000,,2025
Prasidh Krishna,7,KKR,20192000000,,2025
Prasidh Krishna,8,KKR,20202000000,,2025
Prasidh Krishna,9,KKR,20212000000,,2025
Prasidh Krishna,12,KKR,2.0241E+12,,2025
Prasidh Krishna,2,RR,87500000,,2025
Prasidh Krishna,4,RR,92500000,,2025
Prasidh Krishna,10,RR,2.0221E+12,,2025
Prasidh Krishna,11,RR,2.0231E+12,,2025
Prasidh Krishna,13,RR,2.0241E+12,SOLD,2025
Praveen Dubey,4,DC,20212000000,,2025
Praveen Dubey,5,DC,20225000000,,2025
Praveen Dubey,6,DC,20235000000,,2025
Praveen Dubey,8,DC,20245000000,SOLD,2025
Praveen Dubey,1,PBKS,3000000,,2025
Praveen Dubey,2,RCB,20163500000,,2025
Praveen Dubey,3,RCB,20173500000,,2025
Praveen Dubey,7,RCB,20245000000,,2025
Prerak Mankad,1,Lucknow Super Giants,2000000,SOLD,2023
Prince Choudhary,1,PBKS,2000000,SOLD,2024
Prince Yadav,1,LSG,3000000,SOLD,2025
Priyansh Arya,1,PBKS,3000000,,2025
Priyansh Arya,3,PBKS,34000000,,2025
Priyansh Arya,5,PBKS,38000000,SOLD,2025
Priyansh Arya,2,RCB,32000000,,2025
Priyansh Arya,4,RCB,36000000,,2025
Pyla Avinash,1,PBKS,3000000,SOLD,2025
Quinton de Kock,6,DC,2.01435E+11,,2025
Quinton de Kock,7,DC,2.01535E+11,,2025
Quinton de Kock,8,DC,2.01635E+11,,2025
Quinton de Kock,1,KKR,20000000,,2025
Quinton de Kock,3,KKR,32000000,,2025
Quinton de Kock,5,KKR,36000000,,2025
Quinton de Kock,14,LSG,2.02268E+11,,2025
Quinton de Kock,15,LSG,2.02368E+11,,2025
Quinton de Kock,16,LSG,2.02468E+11,SOLD,2025
Quinton de Kock,2,MI,30000000,,2025
Quinton de Kock,4,MI,34000000,,2025
Quinton de Kock,10,MI,2.01828E+11,,2025
Quinton de Kock,11,MI,2.01928E+11,,2025
Quinton de Kock,12,MI,2.02028E+11,,2025
Quinton de Kock,13,MI,2.02128E+11,,2025
Quinton de Kock,9,RCB,2.01735E+11,,2025
RS Hangargekar,2,CSK,2.02215E+11,,2025
RS Hangargekar,3,CSK,2.02315E+11,,2025
RS Hangargekar,4,CSK,2.02415E+11,SOLD,2025
RS Hangargekar,1,LSG,3000000,,2025
Rachin Ravindra,6,DC,7500000,,2024
Rachin Ravindra,10,DC,9500000,,2024
Rachin Ravindra,2,DC,5500000,,2024
Rachin Ravindra,4,DC,6500000,,2024
Rachin Ravindra,8,DC,8500000,,2024
Rachin Ravindra,1,CSK,5000000,,2024
Rachin Ravindra,13,CSK,12000000,,2024
Rachin Ravindra,9,CSK,9000000,,2024
Rachin Ravindra,15,CSK,14000000,,2024
Rachin Ravindra,3,CSK,6000000,,2024
Rachin Ravindra,5,CSK,7000000,,2024
Rachin Ravindra,11,CSK,10000000,,2024
Rachin Ravindra,19,CSK,18000000,SOLD,2024
Rachin Ravindra,7,CSK,8000000,,2024
Rachin Ravindra,17,CSK,16000000,,2024
Rachin Ravindra,12,PBKS,11000000,,2024
Rachin Ravindra,16,PBKS,15000000,,2024
Rachin Ravindra,18,PBKS,17000000,,2024
Rachin Ravindra,14,PBKS,13000000,,2024
Raghav Goyal,1,Mumbai Indians,2000000,SOLD,2023
Rahmanullah Gurbaz,1,KKR,20000000,SOLD,2025
Rahul Chahar,2,LSG,26000000,,2025
Rahul Chahar,4,LSG,30000000,,2025
Rahul Chahar,6,MI,2.01819E+11,,2025
Rahul Chahar,7,MI,2.01919E+11,,2025
Rahul Chahar,8,MI,2.02019E+11,,2025
Rahul Chahar,9,MI,2.02119E+11,,2025
Rahul Chahar,12,MI,2.02453E+11,,2025
Rahul Chahar,10,PBKS,2.02253E+11,,2025
Rahul Chahar,11,PBKS,2.02353E+11,,2025
Rahul Chahar,13,PBKS,2.02453E+11,SOLD,2025
Rahul Chahar,1,SRH,10000000,,2025
Rahul Chahar,3,SRH,28000000,,2025
Rahul Chahar,5,SRH,32000000,,2025
Rahul Tripathi,1,CSK,7500000,,2025
Rahul Tripathi,3,CSK,30000000,,2025
Rahul Tripathi,5,CSK,34000000,,2025
Rahul Tripathi,2,KKR,28000000,,2025
Rahul Tripathi,4,KKR,32000000,,2025
Rahul Tripathi,6,KKR,20206000000,,2025
Rahul Tripathi,7,KKR,20216000000,,2025
Rahul Tripathi,12,KKR,2.02485E+11,,2025
Rahul Tripathi,8,RR,2.01834E+11,,2025
Rahul Tripathi,9,RR,2.01934E+11,,2025
Rahul Tripathi,10,SRH,2.02285E+11,,2025
Rahul Tripathi,11,SRH,2.02385E+11,,2025
Rahul Tripathi,13,SRH,2.02485E+11,SOLD,2025
Raj Bawa,1,MI,3000000,,2025
Raj Bawa,2,PBKS,2.0222E+11,,2025
Raj Bawa,3,PBKS,2.0232E+11,SOLD,2025
Rajan Kumar,6,Kolkata Knight Riders,4500000,,2023
Rajan Kumar,4,Kolkata Knight Riders,3500000,,2023
Rajan Kumar,8,Kolkata Knight Riders,5500000,,2023
Rajan Kumar,2,Kolkata Knight Riders,2500000,,2023
Rajan Kumar,10,Kolkata Knight Riders,6500000,,2023
Rajan Kumar,7,Royal Challengers Bengaluru,5000000,,2023
Rajan Kumar,1,Royal Challengers Bengaluru,2000000,,2023
Rajan Kumar,5,Royal Challengers Bengaluru,4000000,,2023
Rajan Kumar,11,Royal Challengers Bengaluru,7000000,SOLD,2023
Rajan Kumar,3,Royal Challengers Bengaluru,3000000,,2023
Rajan Kumar,9,Royal Challengers Bengaluru,6000000,,2023
Ramakrishna Ghosh,1,CSK,3000000,SOLD,2025
Ramandeep Singh,1,KKR,2000000,SOLD,2024
Rasikh Dar Salam,3,DC,20000000,,2025
Rasikh Dar Salam,1,RCB,3000000,,2025
Rasikh Dar Salam,4,RCB,20000000,,2025
Rasikh Dar Salam,5,RCB,60000000,SOLD,2025
Rasikh Dar Salam,2,SRH,19000000,,2025
Rasikh Dar Salam,1,DC,2000000,SOLD,2024
Ravichandran Ashwin,1,CSK,20000000,,2025
Ravichandran Ashwin,3,CSK,92500000,,2025
Ravichandran Ashwin,5,CSK,97500000,,2025
Ravichandran Ashwin,6,CSK,2.01475E+11,,2025
Ravichandran Ashwin,7,CSK,2.01575E+11,,2025
Ravichandran Ashwin,14,CSK,2.0245E+11,,2025
Ravichandran Ashwin,10,DC,2.02076E+11,,2025
Ravichandran Ashwin,11,DC,2.02176E+11,,2025
Ravichandran Ashwin,8,PBKS,2.01876E+11,,2025
Ravichandran Ashwin,9,PBKS,2.01976E+11,,2025
Ravichandran Ashwin,2,RR,90000000,,2025
Ravichandran Ashwin,4,RR,95000000,,2025
Ravichandran Ashwin,12,RR,2.0225E+11,,2025
Ravichandran Ashwin,13,RR,2.0235E+11,,2025
Ravichandran Ashwin,15,RR,2.0245E+11,SOLD,2025
Reece Topley,1,MI,7500000,SOLD,2025
Reece Topley,9,Mumbai Indians,14000000,,2023
Reece Topley,3,Mumbai Indians,9000000,,2023
Reece Topley,1,Mumbai Indians,7500000,,2023
Reece Topley,5,Mumbai Indians,10000000,,2023
Reece Topley,7,Mumbai Indians,12000000,,2023
Reece Topley,6,Chennai Super Kings,11000000,,2023
Reece Topley,11,Chennai Super Kings,16000000,,2023
Reece Topley,2,Chennai Super Kings,8000000,,2023
Reece Topley,4,Chennai Super Kings,9500000,,2023
Reece Topley,8,Chennai Super Kings,13000000,,2023
Reece Topley,13,Chennai Super Kings,18000000,,2023
Reece Topley,10,Royal Challengers Bengaluru,15000000,,2023
Reece Topley,12,Royal Challengers Bengaluru,17000000,,2023
Reece Topley,14,Royal Challengers Bengaluru,19000000,SOLD,2023
Ricky Bhui,1,DC,2000000,SOLD,2024
Rilee Rossouw,4,DC,26000000,,2024
Rilee Rossouw,16,DC,50000000,,2024
Rilee Rossouw,18,DC,54000000,,2024
Rilee Rossouw,24,DC,66000000,,2024
Rilee Rossouw,10,DC,38000000,,2024
Rilee Rossouw,30,DC,78000000,,2024
Rilee Rossouw,14,DC,46000000,,2024
Rilee Rossouw,22,DC,62000000,,2024
Rilee Rossouw,2,DC,22000000,,2024
Rilee Rossouw,20,DC,58000000,,2024
Rilee Rossouw,8,DC,34000000,,2024
Rilee Rossouw,26,DC,70000000,,2024
Rilee Rossouw,6,DC,30000000,,2024
Rilee Rossouw,28,DC,74000000,,2024
Rilee Rossouw,12,DC,42000000,,2024
Rilee Rossouw,29,PBKS,76000000,,2024
Rilee Rossouw,3,PBKS,24000000,,2024
Rilee Rossouw,31,PBKS,80000000,SOLD,2024
Rilee Rossouw,5,PBKS,28000000,,2024
Rilee Rossouw,21,PBKS,60000000,,2024
Rilee Rossouw,7,PBKS,32000000,,2024
Rilee Rossouw,13,PBKS,44000000,,2024
Rilee Rossouw,23,PBKS,64000000,,2024
Rilee Rossouw,15,PBKS,48000000,,2024
Rilee Rossouw,11,PBKS,40000000,,2024
Rilee Rossouw,27,PBKS,72000000,,2024
Rilee Rossouw,1,PBKS,20000000,,2024
Rilee Rossouw,17,PBKS,52000000,,2024
Rilee Rossouw,19,PBKS,56000000,,2024
Rilee Rossouw,9,PBKS,36000000,,2024
Rilee Rossouw,25,PBKS,68000000,,2024
Rilee Rossouw,10,Delhi Capitals,38000000,,2023
Rilee Rossouw,12,Delhi Capitals,42000000,,2023
Rilee Rossouw,14,Delhi Capitals,46000000,SOLD,2023
Rilee Rossouw,4,Delhi Capitals,26000000,,2023
Rilee Rossouw,6,Delhi Capitals,30000000,,2023
Rilee Rossouw,8,Delhi Capitals,34000000,,2023
Rilee Rossouw,2,Delhi Capitals,22000000,,2023
Rilee Rossouw,13,Rajasthan Royals,44000000,,2023
Rilee Rossouw,3,Rajasthan Royals,24000000,,2023
Rilee Rossouw,1,Rajasthan Royals,20000000,,2023
Rilee Rossouw,9,Rajasthan Royals,36000000,,2023
Rilee Rossouw,5,Rajasthan Royals,28000000,,2023
Rilee Rossouw,11,Rajasthan Royals,40000000,,2023
Rilee Rossouw,7,Rajasthan Royals,32000000,,2023
Rishabh Pant,3,DC,207500000,,2025
Rishabh Pant,6,DC,2.01619E+11,,2025
