sr_no,name,country,role,auction_status,base_price,final_price,sold_to,year
4,Ravindra Jadeja, India,Allrounder ,RETAINED,0,0,CSK,2024
6,Axar Patel, India,Allrounder ,RETAINED,0,0,DC,2024
96,Manoj Bhandage, India,Allrounder ,RETAINED,0,0,RCB,2024
16,Venkatesh Iyer, India,Allrounder ,RETAINED,0,0,KKR,2024
27,Prerak Mankad, India,Allrounder ,RETAINED,0,0,LSG,2024
7,Lalit Yadav, India,Allrounder ,RETAINED,0,0,DC,2024
58,Atharva taide, India,Allrounder ,RETAINED,0,0,PBKS,2024
261,Tanush Kotian, India,Allrounder ,UNSOLD,2000000,0,,2024
24,Kyle Mayers, West Indies,Allrounder ,RETAINED,0,0,LSG,2024
207,Raj Bawa, India,Allrounder ,UNSOLD,2000000,0,,2024
264,Kamlesh Nagarkoti, India,Allrounder ,UNSOLD,3000000,0,,2024
93,Will Jacks, England,Allrounder ,RETAINED,0,0,RCB,2024
288,Michael Bracewell, New Zealand,Allrounder ,UNSOLD,10000000,0,,2024
69,Ravichandran Ashwin, India,Allrounder ,RETAINED,0,0,RR,2024
243,Keemo Paul, West Indies,Allrounder ,UNSOLD,7500000,0,,2024
14,Anukul Roy, India,Allrounder ,RETAINED,0,0,KKR,2024
26,Marcus Stoinis, Australia,Allrounder ,RETAINED,0,0,LSG,2024
98,Akash Deep, India,Allrounder ,RETAINED,0,0,RCB,2024
10,Rashid Khan, Afghanistan,Allrounder ,RETAINED,0,0,GT,2024
15,Sunil Narine, West Indies,Allrounder ,RETAINED,0,0,KKR,2024
62,Shivam Singh, India,Allrounder ,RETAINED,0,0,PBKS,2024
22,K Gowtham Thamarai Kannan, India,Allrounder ,RETAINED,0,0,LSG,2024
40,Tilak Varma, India,Allrounder ,RETAINED,0,0,MI,2024
241,James Neesham, New Zealand,Allrounder ,UNSOLD,15000000,0,,2024
44,Shams Mulani, India,Allrounder ,RETAINED,0,0,MI,2024
259,Harsh Dubey, India,Allrounder ,UNSOLD,2000000,0,,2024
111,Glenn Phillips, New Zealand,Allrounder ,RETAINED,0,0,SRH,2024
1,Mitchell Santner, New Zealand,Allrounder ,RETAINED,0,0,CSK,2024
9,Rahul Tewatia, India,Allrounder ,RETAINED,0,0,GT,2024
2,Moeen Ali, England,Allrounder ,RETAINED,0,0,CSK,2024
60,Sam Curran, England,Allrounder ,RETAINED,0,0,PBKS,2024
239,Qais Ahmad, Afghanistan,Allrounder ,UNSOLD,5000000,0,,2024
206,Sarfaraz Khan, India,Allrounder ,UNSOLD,2000000,0,,2024
209,Vivrant Sharma, India,Allrounder ,UNSOLD,2000000,0,,2024
265,Pradosh Paul, India,Allrounder ,UNSOLD,2000000,0,,2024
11,Vijay Shankar, India,Allrounder ,RETAINED,0,0,GT,2024
59,Rishi Dhawan, India,Allrounder ,RETAINED,0,0,PBKS,2024
61,Sikandar Raza, Zimbabwe,Allrounder ,RETAINED,0,0,PBKS,2024
28,Yudhvir Singh Charak, India,Allrounder ,RETAINED,0,0,LSG,2024
51,Romario Shepherd, West Indies,Allrounder ,TRADED,0,0,MI,2024
118,Nitish Reddy, India,Allrounder ,RETAINED,0,0,SRH,2024
124,Sanvir Singh, India,Allrounder ,RETAINED,0,0,SRH,2024
138,Ajay Jadav Mandal, India,Allrounder ,RETAINED,0,0,CSK,2024
84,Donovan Ferreira, South Africa,Allrounder ,RETAINED,0,0,RR,2024
245,David Willey, England,Allrounder ,SOLD,20000000,20000000,LSG,2024
184,Daryl Mitchell, New Zealand,Allrounder ,SOLD,10000000,140000000,CSK,2024
175,Azmatullah Omarzai, Afghanistan,Allrounder ,SOLD,5000000,5000000,GT,2024
215,Shahrukh Khan, India,Allrounder ,SOLD,4000000,74000000,GT,2024
260,Anshul Kamboj, India,Allrounder ,SOLD,2000000,2000000,MI,2024
300,Swapnil Singh, India,Allrounder ,SOLD,2000000,2000000,RCB,2024
267,Vishwanath Singh, India,Allrounder ,SOLD,2000000,2000000,PBKS,2024
258,Naman Dhir, India,Allrounder ,SOLD,2000000,2000000,MI,2024
297,Abid Mushtaq, India,Allrounder ,SOLD,2000000,2000000,RR,2024
216,Ramandeep Singh, India,Allrounder ,SOLD,2000000,2000000,KKR,2024
299,Shivalik Sharma, India,Allrounder ,SOLD,2000000,2000000,MI,2024
214,Arshin Kulkarni, India,Allrounder ,SOLD,2000000,2000000,LSG,2024
269,Tanay Thyagarajan, India,Allrounder ,SOLD,2000000,2000000,PBKS,2024
266,Ashutosh Sharma, India,Allrounder ,SOLD,2000000,2000000,PBKS,2024
262,Sumit Kumar, India,Allrounder ,SOLD,2000000,10000000,DC,2024
183,Rachin Ravindra, New Zealand,Allrounder ,SOLD,5000000,18000000,CSK,2024
185,Chris Woakes, England,Allrounder ,SOLD,20000000,42000000,PBKS,2024
176,Gerald Coetzee, South Africa,Allrounder ,SOLD,20000000,50000000,MI,2024
174,Wanindu Hasaranga, Sri Lanka,Allrounder ,SOLD,15000000,15000000,SRH,2024
289,Mohammad Nabi, Afghanistan,Allrounder ,SOLD,15000000,15000000,MI,2024
240,Tom Curran, England,Allrounder ,SOLD,15000000,15000000,RCB,2024
2,Heinrich Klaasen,South Africa,WK-Batter,RETAINED,0,0,SRH,2025
32,Riyan Parag,India,Allrounder,RETAINED,0,0,RR,2025
25,Rahul Tewatia,India,Allrounder,RETAINED,0,0,GT,2025
29,Ayush Badoni,India,Batter,RETAINED,0,0,LSG,2025
21,Rashid Khan,Afghanistan,Allrounder,RETAINED,0,0,GT,2025
110,Rinku Singh,India,Batter,RETAINED,0,0,KKR,2025
26,Ravi Bishnoi,India,Bowler,RETAINED,0,0,LSG,2025
6,Rajat Patidar,India,Batter,RETAINED,0,0,RCB,2025
22,Shubman Gill,India,Batter,RETAINED,0,0,GT,2025
27,Mayank Yadav,India,Bowler,RETAINED,0,0,LSG,2025
3,Pat Cummins,Australia,Allrounder,RETAINED,0,0,SRH,2025
39,Prabhsimran Singh,India,WK-Batter,RETAINED,0,0,PBKS,2025
16,Yash Dayal,India,Bowler,RETAINED,0,0,RCB,2025
8,Ruturaj Gaikwad,India,Batter,RETAINED,0,0,CSK,2025
9,Harshit Rana,India,Bowler,RETAINED,0,0,KKR,2025
20,Travis Head,Australia,Allrounder,RETAINED,0,0,SRH,2025
42,Tristan Stubbs,South Africa,WK-Batter,RETAINED,0,0,DC,2025
117,Virat Kohli,India,Batter,RETAINED,0,0,RCB,2025
10,Ramandeep Singh,India,Allrounder,RETAINED,0,0,KKR,2025
43,Abishek Porel,India,WK-Batter,RETAINED,0,0,DC,2025
35,Shivam Dube,India,Allrounder,RETAINED,0,0,CSK,2025
41,Kuldeep Yadav,India,Bowler,RETAINED,0,0,DC,2025
19,Matheesha Pathirana,Sri Lanka,Bowler,RETAINED,0,0,CSK,2025
34,Shimron Hetmyer,West Indies,Batter,RETAINED,0,0,RR,2025
23,Nicholas Pooran,West Indies,WK-Batter,RETAINED,0,0,LSG,2025
40,Axar Patel,India,Allrounder,RETAINED,0,0,DC,2025
28,Shahrukh Khan,India,Allrounder,RETAINED,0,0,GT,2025
31,Yashasvi Jaiswal,India,Batter,RETAINED,0,0,RR,2025
37,Ravindra Jadeja,India,Allrounder,RETAINED,0,0,CSK,2025
15,Rohit Sharma,India,Batter,RETAINED,0,0,MI,2025
14,Hardik Pandya,India,Allrounder,RETAINED,0,0,MI,2025
17,Abhishek Sharma,India,Allrounder,RETAINED,0,0,SRH,2025
11,Jasprit Bumrah,India,Bowler,RETAINED,0,0,MI,2025
38,Shashank Singh,India,Allrounder,RETAINED,0,0,PBKS,2025
12,Nitish Reddy,India,Allrounder,RETAINED,0,0,SRH,2025
13,Suryakumar Yadav,India,Batter,RETAINED,0,0,MI,2025
30,Sanju Samson,India,WK-Batter,RETAINED,0,0,RR,2025
119,MS Dhoni,India,WK-Batter,RETAINED,0,0,CSK,2025
4,Varun Chakaravarthy,India,Bowler,RETAINED,0,0,KKR,2025
24,Sai Sudharsan,India,Batter,RETAINED,0,0,GT,2025
18,Tilak Varma,India,Batter,RETAINED,0,0,MI,2025
5,Sunil Narine,West Indies,Allrounder,RETAINED,0,0,KKR,2025
7,Andre Russell,West Indies,Allrounder,RETAINED,0,0,KKR,2025
36,Sandeep Sharma,India,Bowler,RETAINED,0,0,RR,2025
33,Dhruv Jurel,India,WK-Batter,RETAINED,0,0,RR,2025
1,Mohsin Khan,India,Bowler,RETAINED,0,0,LSG,2025
230,Aravelly Avanish,India,WK-Batter,UNSOLD,3000000,0,,2025
235,Vidhwath Kaverappa,India,Bowler,UNSOLD,3000000,0,,2025
332,Ripal Patel,India,Allrounder,UNSOLD,3000000,0,,2025
99,Saurabh Netravalkar,United States of America,Bowler,UNSOLD,3000000,0,,2025
83,Ishan Porel,India,Bowler,UNSOLD,3000000,0,,2025
105,Agni Chopra,India,Batter,UNSOLD,3000000,0,,2025
234,Sakib Hussain,India,Bowler,UNSOLD,3000000,0,,2025
363,Tanush Kotian,India,Allrounder,UNSOLD,3000000,0,,2025
98,Deepak Devadiga,India,Bowler,UNSOLD,3000000,0,,2025
300,Emanjot Singh Chahal,India,Allrounder,UNSOLD,3000000,0,,2025
327,Vijay Kumar,India,Bowler,UNSOLD,3000000,0,,2025
353,Harvik Desai,India,WK-Batter,UNSOLD,3000000,0,,2025
236,Rajan Kumar,India,Bowler,UNSOLD,3000000,0,,2025
55,Duan Jansen,South Africa,Allrounder,UNSOLD,3000000,0,,2025
94,Hrithik Shokeen,India,Allrounder,UNSOLD,3000000,0,,2025
67,Tejasvi Singh,India,WK-Batter,UNSOLD,3000000,0,,2025
84,Basil Thampi,India,Bowler,UNSOLD,3000000,0,,2025
263,Rishi Dhawan,India,Allrounder,UNSOLD,3000000,0,,2025
285,Arpit Guleria,India,Bowler,UNSOLD,3000000,0,,2025
333,Sanjay Yadav,India,Allrounder,UNSOLD,3000000,0,,2025
350,Pukhraj Mann,India,Batter,UNSOLD,3000000,0,,2025
269,Bailapudi Yeswanth,India,Bowler,UNSOLD,3000000,0,,2025
80,Priyam Garg,India,Batter,UNSOLD,3000000,0,,2025
226,Mayank Dagar,India,Allrounder,UNSOLD,3000000,0,,2025
320,Anshuman Hooda,India,Bowler,UNSOLD,3000000,0,,2025
305,Naman Tiwari,India,Bowler,UNSOLD,3000000,0,,2025
81,Shams Mulani,India,Allrounder,UNSOLD,3000000,0,,2025
268,Raghav Goyal,India,Bowler,UNSOLD,3000000,0,,2025
303,Divesh Sharma,India,Bowler,UNSOLD,3000000,0,,2025
334,Avinash Singh,India,Bowler,UNSOLD,3000000,0,,2025
375,Shivalik Sharma,India,Allrounder,UNSOLD,3000000,0,,2025
113,Prerak Mankad,India,Allrounder,UNSOLD,3000000,0,,2025
164,Yash Dhull,India,Batter,UNSOLD,3000000,0,,2025
97,Aaqib Khan,India,Bowler,UNSOLD,3000000,0,,2025
114,N Jagadeesan,India,WK-Batter,UNSOLD,3000000,0,,2025
341,Anmolpreet Singh,India,Batter,UNSOLD,3000000,0,,2025
383,Atit Sheth,India,Allrounder,UNSOLD,3000000,0,,2025
56,Samarth Nagaraj,India,Bowler,UNSOLD,3000000,0,,2025
91,Ayush Mhatre,India,Batter,UNSOLD,3000000,0,,2025
223,Madhav Kaushik,India,Batter,UNSOLD,3000000,0,,2025
321,Shiva Singh,India,Allrounder,UNSOLD,3000000,0,,2025
386,Khrievitso Kense,India,Allrounder,UNSOLD,3000000,0,,2025
365,LR Chethan,India,WK-Batter,UNSOLD,3000000,0,,2025
395,Raj Limbani,India,Allrounder,UNSOLD,3000000,0,,2025
82,Lalit Yadav,India,Allrounder,UNSOLD,3000000,0,,2025
297,Salman Nizar,India,Batter,UNSOLD,3000000,0,,2025
240,Jhatavedh Subramanyan,Hong Kong,Bowler,UNSOLD,3000000,0,,2025
337,Digvijay Deshmukh,India,Allrounder,UNSOLD,3000000,0,,2025
85,Jagadeesha Suchith,India,Bowler,UNSOLD,3000000,0,,2025
76,Vivrant Sharma,India,Allrounder,UNSOLD,3000000,0,,2025
264,Shivam Singh,India,Allrounder,UNSOLD,3000000,0,,2025
100,Hardik Tamore,India,WK-Batter,UNSOLD,3000000,0,,2025
112,Virat Singh,India,Batter,UNSOLD,3000000,0,,2025
338,Yash Dabas,India,Allrounder,UNSOLD,3000000,0,,2025
280,Sachin Dhas,India,Batter,UNSOLD,3000000,0,,2025
176,Utkarsh Singh,India,Allrounder,UNSOLD,3000000,0,,2025
180,Upendra Yadav,India,WK-Batter,UNSOLD,3000000,0,,2025
325,Brandon McMullen,Scotland,Allrounder,UNSOLD,3000000,0,,2025
354,Prince Choudhary,India,Bowler,UNSOLD,3000000,0,,2025
380,Tejasvi Dahiya,India,WK-Batter,UNSOLD,3000000,0,,2025
336,Umang Kumar,India,Allrounder,UNSOLD,3000000,0,,2025
355,Prashant Solanki,India,Bowler,UNSOLD,3000000,0,,2025
115,KM Asif,India,Bowler,UNSOLD,3000000,0,,2025
106,Aman Hakim Khan,India,Allrounder,UNSOLD,3000000,0,,2025
313,Abdul Basith,India,Allrounder,UNSOLD,3000000,0,,2025
366,Murugan Ashwin,India,Bowler,UNSOLD,3000000,0,,2025
360,Sachin Baby,India,Batter,SOLD,3000000,3000000,SRH,2025
361,Andre Siddarth C,India,Batter,SOLD,3000000,3000000,CSK,2025
398,Mohit Rathee,India,Bowler,SOLD,3000000,3000000,RCB,2025
266,Akash Singh,India,Bowler,SOLD,3000000,3000000,LSG,2025
356,Swastik Chikara,India,Batter,SOLD,3000000,3000000,RCB,2025
364,Arshin Kulkarni,India,Allrounder,SOLD,3000000,3000000,LSG,2025
382,Bevon Jacobs,New Zealand,Batter,SOLD,3000000,3000000,MI,2025
396,Ashok Sharma,India,Bowler,SOLD,3000000,3000000,RR,2025
318,Pyla Avinash,India,Batter,SOLD,3000000,3000000,PBKS,2025
344,Shreyas Gopal,India,Bowler,SOLD,3000000,3000000,CSK,2025
388,Arjun Tendulkar,India,Bowler,SOLD,3000000,3000000,MI,2025
195,Manav Suthar,India,Bowler,SOLD,3000000,3000000,GT,2025
228,Darshan Nalkande,India,Allrounder,SOLD,3000000,3000000,DC,2025
378,Manvanth Kumar L,India,Allrounder,SOLD,3000000,3000000,DC,2025
302,Suryansh Shedge,India,Allrounder,SOLD,3000000,3000000,--,2025
301,Musheer Khan,India,Batter,SOLD,3000000,3000000,PBKS,2025
160,Atharva Taide,India,Batter,SOLD,3000000,3000000,SRH,2025
282,Manoj Bhandage,India,Allrounder,SOLD,3000000,3000000,RCB,2025
261,Harnoor Singh,India,Batter,SOLD,3000000,3000000,PBKS,2025
319,Ramakrishna Ghosh,India,Allrounder,SOLD,3000000,3000000,CSK,2025
374,Ajay Jadav Mandal,India,Allrounder,SOLD,3000000,3000000,DC,2025
265,Ashwani Kumar,India,Bowler,SOLD,3000000,3000000,MI,2025
194,Kumar Kartikeya,India,Bowler,SOLD,3000000,3000000,RR,2025
387,Kunal Singh Rathore,India,WK-Batter,SOLD,3000000,3000000,RR,2025
224,Shaik Rasheed,India,Batter,SOLD,3000000,3000000,CSK,2025
376,Praveen Dubey,India,Allrounder,SOLD,3000000,3000000,PBKS,2025
166,Nishant Sindhu,India,Allrounder,SOLD,3000000,3000000,GT,2025
304,Prince Yadav,India,Bowler,SOLD,3000000,3000000,LSG,2025
315,Kamlesh Nagarkoti,India,Allrounder,SOLD,3000000,3000000,CSK,2025
298,Aniket Verma,India,Batter,SOLD,3000000,3000000,--,2025
179,Anuj Rawat,India,WK-Batter,SOLD,3000000,3000000,GT,2025
322,Satyanarayana Raju,India,Bowler,SOLD,3000000,3000000,MI,2025
184,Aryan Juyal,India,WK-Batter,SOLD,3000000,3000000,LSG,2025
239,Digvesh Singh,India,Bowler,SOLD,3000000,3000000,LSG,2025
225,Himmat Singh,India,Batter,SOLD,3000000,3000000,LSG,2025
193,Mayank Markande,India,Bowler,SOLD,3000000,3000000,KKR,2025
314,Yuvraj Chaudhary,India,Allrounder,SOLD,3000000,3000000,LSG,2025
362,RS Hangargekar,India,Allrounder,SOLD,3000000,3000000,LSG,2025
391,Kulwant Khejroliya,India,Bowler,SOLD,3000000,3000000,GT,2025
342,Luvnith Sisodia,India,WK-Batter,SOLD,3000000,3000000,KKR,2025
397,Vignesh Puthur,India,Allrounder,SOLD,3000000,3000000,MI,2025
394,Abhinandan Singh,India,Bowler,SOLD,3000000,3000000,RCB,2025
284,Krishnan Shrijith,India,WK-Batter,SOLD,3000000,3000000,MI,2025
233,Mukesh Choudhary,India,Bowler,SOLD,3000000,3000000,CSK,2025
299,Raj Bawa,India,Allrounder,SOLD,3000000,3000000,MI,2025
384,Tripurana Vijay,India,Allrounder,SOLD,3000000,3000000,DC,2025
262,Yudhvir Singh Charak,India,Allrounder,SOLD,3000000,3500000,RR,2025
385,Madhav Tiwari,India,Allrounder,SOLD,3000000,4000000,DC,2025
351,Anukul Roy,India,Allrounder,SOLD,3000000,4000000,KKR,2025
237,Zeeshan Ansari,India,Bowler,SOLD,3000000,4000000,SRH,2025
163,Karun Nair,India,Batter,SOLD,3000000,5000000,DC,2025
231,Swapnil Singh,India,Allrounder,RTM,3000000,5000000,RCB,2025
283,Vipraj Nigam,India,Allrounder,SOLD,3000000,5000000,DC,2025
352,Vansh Bedi,India,WK-Batter,SOLD,3000000,5500000,CSK,2025
177,Kumar Kushagra,India,WK-Batter,SOLD,3000000,6500000,GT,2025
178,Robin Minz,India,WK-Batter,SOLD,3000000,6500000,MI,2025
238,Manimaran Siddharth,India,Bowler,SOLD,3000000,7500000,LSG,2025
222,Shubham Dubey,India,Batter,SOLD,3000000,8000000,RR,2025
167,Sameer Rizvi,India,Allrounder,SOLD,3000000,9500000,DC,2025
181,Vishnu Vinod,India,WK-Batter,SOLD,3000000,9500000,PBKS,2025
331,Vaibhav Suryavanshi,India,Batter,SOLD,3000000,11000000,RR,2025
183,Akash Madhwal,India,Bowler,SOLD,3000000,12000000,RR,2025
173,Vijay Shankar,India,Allrounder,SOLD,3000000,12000000,CSK,2025
335,Eshan Malinga,Sri Lanka,Bowler,SOLD,3000000,12000000,SRH,2025
232,Gurnoor Brar,India,Bowler,SOLD,3000000,13000000,GT,2025
227,Arshad Khan,India,Allrounder,SOLD,3000000,13000000,GT,2025
172,Harpreet Brar,India,Allrounder,SOLD,3000000,15000000,PBKS,2025
190,Simarjeet Singh,India,Bowler,SOLD,3000000,15000000,SRH,2025
188,Yash Thakur,India,Bowler,SOLD,3000000,16000000,PBKS,2025
186,Vijaykumar Vyshak,India,Bowler,SOLD,3000000,18000000,PBKS,2025
187,Vaibhav Arora,India,Bowler,SOLD,3000000,18000000,KKR,2025
267,Gurjapneet Singh,India,Bowler,SOLD,3000000,22000000,CSK,2025
191,Suyash Sharma,India,Bowler,SOLD,3000000,26000000,RCB,2025
162,Angkrish Raghuvanshi,India,Batter,SOLD,3000000,30000000,KKR,2025
165,Abhinav Manohar,India,Batter,SOLD,3000000,32000000,SRH,2025
229,Anshul Kamboj,India,Allrounder,SOLD,3000000,34000000,CSK,2025
281,Priyansh Arya,India,Allrounder,SOLD,3000000,38000000,PBKS,2025
175,Ashutosh Sharma,India,Allrounder,SOLD,3000000,38000000,DC,2025
171,Abdul Samad,India,Allrounder,SOLD,3000000,42000000,LSG,2025
161,Nehal Wadhera,India,Batter,SOLD,3000000,42000000,PBKS,2025
170,Naman Dhir,India,Allrounder,RTM,3000000,52500000,MI,2025
182,Rasikh Dar Salam,India,Bowler,SOLD,3000000,60000000,RCB,2025
75,Siddarth Kaul,India,Bowler,UNSOLD,4000000,0,,2025
189,Kartik Tyagi,India,Bowler,UNSOLD,4000000,0,,2025
343,Piyush Chawla,India,Bowler,UNSOLD,5000000,0,,2025
373,Leus du Plooy,England,Batter,UNSOLD,5000000,0,,2025
192,Karn Sharma,India,Bowler,SOLD,5000000,5000000,MI,2025
174,Mahipal Lomror,India,Allrounder,SOLD,5000000,17000000,GT,2025
185,Mohit Sharma,India,Bowler,SOLD,5000000,22000000,DC,2025
324,Blessing Muzarabani,Zimbabwe,Bowler,UNSOLD,7500000,0,,2025
278,Luke Wood,England,Bowler,UNSOLD,7500000,0,,2025
200,Prithvi Shaw,India,Batter,UNSOLD,7500000,0,,2025
357,Dewald Brevis,South Africa,Batter,UNSOLD,7500000,0,,2025
218,Vijayakanth Viyaskanth,Sri Lanka,Bowler,UNSOLD,7500000,0,,2025
57,Andrew Tye,Australia,Bowler,UNSOLD,7500000,0,,2025
68,Nangeyalia Kharote,Afghanistan,Allrounder,UNSOLD,7500000,0,,2025
88,Bhanuka Rajapaksa,Sri Lanka,Batter,UNSOLD,7500000,0,,2025
221,Keshav Maharaj,South Africa,Bowler,UNSOLD,7500000,0,,2025
276,Richard Gleeson,England,Bowler,UNSOLD,7500000,0,,2025
252,Josh Philippe,Australia,WK-Batter,UNSOLD,7500000,0,,2025
61,Patrick Kruger,South Africa,Allrounder,UNSOLD,7500000,0,,2025
309,Dilshan Madushanka,Sri Lanka,Bowler,UNSOLD,7500000,0,,2025
379,Sandeep Warrier,India,Bowler,UNSOLD,7500000,0,,2025
270,Pathum Nissanka,Sri Lanka,Batter,UNSOLD,7500000,0,,2025
50,Kusal Mendis,Sri Lanka,WK-Batter,UNSOLD,7500000,0,,2025
289,Sarfaraz Khan,India,Allrounder,UNSOLD,7500000,0,,2025
104,Dunith Wellalage,Sri Lanka,Allrounder,UNSOLD,7500000,0,,2025
49,Ben McDermott,Australia,WK-Batter,UNSOLD,7500000,0,,2025
260,Rishad Hossain,Bangladesh,Bowler,UNSOLD,7500000,0,,2025
390,Shivam Mavi,India,Bowler,UNSOLD,7500000,0,,2025
103,Dan Mousley,England,Allrounder,UNSOLD,7500000,0,,2025
317,Olly Stone,England,Bowler,UNSOLD,7500000,0,,2025
64,Nahid Rana,Bangladesh,Bowler,UNSOLD,7500000,0,,2025
377,Matthew Short,Australia,Allrounder,UNSOLD,7500000,0,,2025
323,Dwaine Pretorius,South Africa,Allrounder,UNSOLD,7500000,0,,2025
51,Kusal Perera,Sri Lanka,WK-Batter,UNSOLD,7500000,0,,2025
209,Srikar Bharat,India,WK-Batter,UNSOLD,7500000,0,,2025
312,Chetan Sakariya,India,Bowler,UNSOLD,7500000,0,,2025
101,Charith Asalanka,Sri Lanka,Allrounder,UNSOLD,7500000,0,,2025
69,Junior Dala,South Africa,Allrounder,UNSOLD,7500000,0,,2025
326,Roston Chase,West Indies,Allrounder,UNSOLD,7500000,0,,2025
296,Navdeep Saini,India,Bowler,UNSOLD,7500000,0,,2025
72,Wiaan Mulder,South Africa,Allrounder,UNSOLD,7500000,0,,2025
86,Sediqullah Atal,Afghanistan,Batter,UNSOLD,7500000,0,,2025
158,Waqar Salamkheil,Afghanistan,Bowler,UNSOLD,7500000,0,,2025
54,Zahir Khan,Afghanistan,Bowler,UNSOLD,7500000,0,,2025
89,Joshua Little,Ireland,Bowler,UNSOLD,7500000,0,,2025
368,Brandon King,West Indies,Batter,UNSOLD,7500000,0,,2025
79,Jeffrey Vandersay,Sri Lanka,Bowler,UNSOLD,7500000,0,,2025
102,Gudakesh Motie,West Indies,Allrounder,UNSOLD,7500000,0,,2025
58,Lahiru Kumara,Sri Lanka,Bowler,UNSOLD,7500000,0,,2025
392,Ottneil Baartman,South Africa,Bowler,UNSOLD,7500000,0,,2025
273,Jayant Yadav,India,Allrounder,SOLD,7500000,7500000,GT,2025
389,Lizaad Williams,South Africa,Bowler,SOLD,7500000,7500000,MI,2025
381,Karim Janat,Afghanistan,Allrounder,SOLD,7500000,7500000,GT,2025
359,Umran Malik,India,Bowler,SOLD,7500000,7500000,KKR,2025
291,Kamindu Mendis,Sri Lanka,Allrounder,SOLD,7500000,7500000,SRH,2025
295,Shamar Joseph,West Indies,Bowler,RTM,7500000,7500000,LSG,2025
243,Manish Pandey,India,Batter,SOLD,7500000,7500000,KKR,2025
367,Matthew Breetzke,South Africa,Batter,SOLD,7500000,7500000,LSG,2025
293,Dushmantha Chameera,Sri Lanka,Bowler,SOLD,7500000,7500000,DC,2025
255,Ishant Sharma,India,Bowler,SOLD,7500000,7500000,GT,2025
279,Reece Topley,England,Bowler,SOLD,7500000,7500000,MI,2025
349,Donovan Ferreira,South Africa,WK-Batter,SOLD,7500000,7500000,DC,2025
308,Xavier Bartlett,Australia,Bowler,SOLD,7500000,8000000,PBKS,2025
277,Kuldeep Sen,India,Bowler,SOLD,7500000,8000000,PBKS,2025
372,Kwena Maphaka,South Africa,Bowler,SOLD,7500000,15000000,RR,2025
256,Nuwan Thushara,Sri Lanka,Bowler,SOLD,7500000,16000000,RCB,2025
247,Deepak Hooda,India,Allrounder,SOLD,7500000,17000000,CSK,2025
250,Ravisrinivasan Sai Kishore,India,Allrounder,RTM,7500000,20000000,GT,2025
130,Rahul Tripathi,India,Batter,SOLD,7500000,34000000,CSK,2025
217,Allah Ghazanfar,Afghanistan,Bowler,SOLD,7500000,48000000,MI,2025
211,Alex Carey,Australia,WK-Batter,UNSOLD,10000000,0,,2025
73,Mehidy Hasan Miraz,Bangladesh,Allrounder,UNSOLD,10000000,0,,2025
44,Ashton Turner,Australia,Allrounder,UNSOLD,10000000,0,,2025
74,Shakib Al Hasan,Bangladesh,Allrounder,UNSOLD,10000000,0,,2025
328,Nathan Smith,New Zealand,Allrounder,UNSOLD,10000000,0,,2025
345,Mayank Agarawal,India,Batter,UNSOLD,10000000,0,,2025
93,Krishnappa Gowtham,India,Allrounder,UNSOLD,10000000,0,,2025
77,Taskin Ahmed,Bangladesh,Bowler,UNSOLD,10000000,0,,2025
96,Gulbadin Naib,Afghanistan,Allrounder,UNSOLD,10000000,0,,2025
60,Wayne Parnell,South Africa,Allrounder,UNSOLD,10000000,0,,2025
287,Brydon Carse,England,Allrounder,SOLD,10000000,10000000,SRH,2025
207,Ryan Rickelton,South Africa,WK-Batter,SOLD,10000000,10000000,MI,2025
258,Jaydev Unadkat,India,Bowler,SOLD,10000000,10000000,SRH,2025
393,Lungi Ngidi,South Africa,Bowler,SOLD,10000000,10000000,RCB,2025
246,Shahbaz Ahmed,India,Allrounder,SOLD,10000000,24000000,LSG,2025
157,Rahul Chahar,India,Bowler,SOLD,10000000,32000000,SRH,2025
212,Tushar Deshpande,India,Bowler,SOLD,10000000,65000000,RR,2025
399,Akash Deep,India,Bowler,SOLD,10000000,80000000,LSG,2025
148,Jitesh Sharma,India,WK-Batter,SOLD,10000000,110000000,RCB,2025
48,Jordan Cox,England,WK-Batter,UNSOLD,12500000,0,,2025
206,Shai Hope,West Indies,Batter,UNSOLD,12500000,0,,2025
370,Sikandar Raza,Zimbabwe,Allrounder,UNSOLD,12500000,0,,2025
63,Dominic Drakes,West Indies,Allrounder,UNSOLD,12500000,0,,2025
78,Obed McCoy,West Indies,Bowler,UNSOLD,12500000,0,,2025
316,Lance Morris,Australia,Bowler,UNSOLD,12500000,0,,2025
53,Nandre Burger,South Africa,Bowler,UNSOLD,12500000,0,,2025
59,Keemo Paul,West Indies,Allrounder,UNSOLD,12500000,0,,2025
52,Tim Seifert,New Zealand,WK-Batter,UNSOLD,12500000,0,,2025
62,Matthew Forde,West Indies,Bowler,UNSOLD,12500000,0,,2025
66,James Anderson,England,Bowler,UNSOLD,12500000,0,,2025
288,Aaron Hardie,Australia,Allrounder,SOLD,12500000,12500000,PBKS,2025
294,Nathan Ellis,Australia,Bowler,SOLD,12500000,20000000,CSK,2025
213,Gerald Coetzee,South Africa,Allrounder,SOLD,12500000,24000000,GT,2025
286,Jacob Bethell,England,Allrounder,SOLD,12500000,26000000,RCB,2025
202,Marco Jansen,South Africa,Allrounder,SOLD,12500000,70000000,PBKS,2025
47,Sam Billings,England,WK-Batter,UNSOLD,15000000,0,,2025
