player_id,player_name,bowling_type,bowling_hand,batting_type,batting_hand,date_of_birth,is_wicket_keeper,nationality
6727,Zak Crawley,Right-arm medium,R,Right-hand bat,R,03/02/98,0,England
6726,Romario Shepherd,Right-arm medium-fast,R,Right-hand bat,R,26/11/94,0,West Indies
6725,Sherfane Rutherford,Right-arm fast-medium,R,Left-hand bat,L,15/08/98,0,West Indies
6724,Chandrapaul Hemraj,Slow left-arm orthodox,L,Left-hand bat,L,03/09/93,0,West Indies
6723,Larry Edward,Slow left-arm orthodox,L,Left-hand bat,L,16/02/95,0,West Indies
6718,Cameron Pennyfeather,Right-arm medium-fast,R,Right-hand bat,R,10/02/98,0,West Indies
6716,Vikash Mohan,Right-arm offbreak,R,Right-hand bat,R,22/09/94,0,West Indies
6712,Hamed Khan,Right-arm medium,R,Right-hand bat,R,03/10/98,0,
6711,Aditya Thakare,Right-arm medium,R,Right-hand bat,R,08/11/98,0,India
6710,Akash Sudan,Right-arm medium,R,Left-hand bat,L,07/05/93,0,India
6705,Scott McKechnie,Right-arm medium,R,Right-hand bat,R,05/08/91,1,
6698,Abhimanyu Lamba,Right-arm medium,R,Right-hand bat,R,31/10/95,0,India
6697,Shams Mulani,Slow left-arm orthodox,L,Left-hand bat,L,13/03/97,0,India
6696,Ankit Lamba,Right-arm Leg-Break,R,Right-hand bat,R,03/12/91,0,India
6695,Chandrapal Singh,Slow left-arm orthodox,L,Right-hand bat,R,08/09/94,0,India
6694,Tajinder Singh,Right-arm offbreak,R,Right-hand bat,R,25/05/92,0,USA
6693,Chetan Bist,None,,Right-hand bat,R,03/09/89,0,India
6692,Dhrumil Matkar,Slow left-arm orthodox,L,Left-hand bat,L,03/06/96,0,India
6691,Parikshit Valsangkar,Right-arm Leg-Break,R,Right-hand bat,R,24/02/95,0,India
6690,Atul Singh Surwar,Slow left-arm orthodox,L,Left-hand bat,L,,0,India
6689,Blake Macdonald,Right-arm medium,R,Right-hand bat,R,23/02/98,0,Australia
6684,MD Nidheesh,Right-arm medium,R,Right-hand bat,R,05/05/91,0,India
6683,Mayank Markande,Right-arm Leg-Break,R,Right-hand bat,R,11/11/97,0,India
6682,Sharad Lumba,Right-arm offbreak,R,Right-hand bat,R,10/09/89,0,India
6680,Kshitiz Sharma,Right-arm Fast,R,Right-hand bat,R,21/04/90,0,India
6678,Hassan Khan,Slow left-arm orthodox,L,Right-hand bat,R,16/10/98,0,Pakistan
6677,Mohammad Hasnain,Right-arm Fast,R,Right-hand bat,R,04/05/00,0,Pakistan
6676,Azmatullah Omarzai,Right-arm medium-fast,R,Right-hand bat,R,24/03/00,0,Afghanistan
6675,Bahir Mehboob,Right-arm offbreak,R,Right-hand bat,R,20/02/00,0,Afghanistan
6674,Rahmanullah Gurbaz,Left-arm Chinaman,L,Right-hand bat,R,28/11/01,1,Afghanistan
6673,Dhruv B Patel,Right-arm medium,R,Right-hand bat,R,12/09/97,0,India
6671,Lalit Yadav,Right-arm offbreak,R,Right-hand bat,R,03/01/97,0,India
6670,Pramod Chandila,Right-arm offbreak,R,Right-hand bat,R,18/07/93,0,India
6669,Mohsin Khan,Left-arm medium-fast,L,Left-hand bat,L,15/07/98,0,India
6668,Jayden Schadendorf,Right-arm medium,R,Right-hand bat,R,11/09/98,0,Zimbabwe
6664,Dion Myers,Right-arm medium,R,Right-hand bat,R,21/03/02,0,Zimbabwe
6662,Tanunurwa Makoni,Right-arm medium,R,Right-hand bat,R,28/11/99,0,Zimbabwe
6660,Alistair Frost,Right-arm medium,R,Right-hand bat,R,24/04/99,0,Zimbabwe
6654,Tanay Thyagarajan,Slow left-arm orthodox,L,Left-hand bat,L,15/11/95,0,India
6651,Towhid Hridoy,Right-arm offbreak,R,Right-hand bat,R,04/12/00,0,Bangladesh
6650,Mohammad Sultan,Slow left-arm orthodox,L,Left-hand bat,L,16/12/98,0,Bangladesh
6647,Robiul Haque,Right-arm medium-fast,R,Right-hand bat,R,28/10/99,0,Bangladesh
6645,Mohammad Sheikh,Right-arm Fast,R,Left-hand bat,L,21/08/99,0,Bangladesh
6644,Mahidul Ankon,,,Right-hand bat,R,04/05/99,1,Bangladesh
6643,Hasan Mahmud,Right-arm Fast,R,Right-hand bat,R,12/02/97,0,Bangladesh
6642,Aminul Biplob,Right-arm Leg-Break,R,Right-hand bat,R,06/11/99,0,Bangladesh
6641,Michael Rae,Right-arm medium-fast,R,Right-hand bat,R,13/06/95,0,New Zealand
6628,Gerald Coetzee,Right-arm Fast,R,Right-hand bat,R,02/10/00,0,South Africa
6626,Semo Kamea,Left-arm medium,L,Left-hand bat,L,09/02/01,0,
6611,Ben Shikongo,Right-arm medium-fast,R,Right-hand bat,R,08/05/00,0,
6603,Roman Walker,Right-arm fast-medium,R,Right-hand bat,R,06/08/00,0,England
6601,Prem Sisodiya,Slow left-arm orthodox,L,Right-hand bat,R,21/09/98,0,England
6600,Tom Scriven,Right-arm medium-fast,R,Right-hand bat,R,18/11/98,0,England
6598,Dillon Pennington,Right-arm medium-fast,R,Right-hand bat,R,26/02/99,0,England
6597,Luke Hollman,Right-arm Leg-Break,R,Left-hand bat,L,16/09/00,0,England
6596,Adam Finch,Right-arm medium,R,Right-hand bat,R,28/05/00,0,England
6595,Jack Davies,,,Left-hand bat,L,30/03/00,1,England
6594,Ethan Bamber,Right-arm medium-fast,R,Right-hand bat,R,17/12/98,0,England
6592,Daryl Ferrario,Right-arm offbreak,R,Right-hand bat,R,07/05/98,0,India
6591,KM Asif,Right-arm medium,R,Right-hand bat,R,24/07/93,0,India
6590,Rajashekhar Harikant,None,,Right-hand bat,R,04/10/90,0,India
6588,Nathan McSweeney,Right-arm offbreak,R,Right-hand bat,R,08/03/99,0,Australia
6587,Baxter Holt,None,,Right-hand bat,R,21/10/99,0,Australia
6586,Jarrod Freeman,Right-arm offbreak,R,Right-hand bat,R,15/07/00,0,Australia
6585,Nyeem Young,Right-arm medium,R,Right-hand bat,R,22/09/00,0,West Indies
6584,Bhaskar Yadram,Right-arm medium,R,Right-hand bat,R,18/09/99,0,West Indies
6583,Keagan Simmons,Right-arm medium,R,Left-hand bat,L,26/03/99,0,West Indies
6582,Jeavor Royal,Slow left-arm orthodox,L,Right-hand bat,R,02/12/98,0,West Indies
6581,Joshua Persaud,,,Right-hand bat,R,29/02/00,0,West Indies
6578,Ashmead Nedd,Slow left-arm orthodox,L,Right-hand bat,R,10/01/01,0,West Indies
6577,Kimani Melius,Right-arm offbreak,R,Right-hand bat,R,17/01/01,0,West Indies
6575,Cephas Cooper,Right-arm offbreak,R,Right-hand bat,R,11/07/99,0,West Indies
6574,Alick Athanaze,Right-arm offbreak,R,Left-hand bat,L,07/12/98,0,West Indies
6573,Ronaldo Mohammed,Right-arm fast-medium,R,Right-hand bat,R,03/10/98,0,
6565,Katene Dalton Clarke,Right-arm medium-fast,R,Right-hand bat,R,20/09/99,0,New Zealand
6561,Sudhesan Midhun,Right-arm Leg-Break,R,Right-hand bat,R,07/10/94,0,India
6560,Harishankar Reddy,Right-arm medium,R,Right-hand bat,R,02/06/98,0,India
6556,Will Williams,Right-arm Fast,R,Right-hand bat,R,31/05/05,0,New Zealand
6554,Salman Nizar,Right-arm offbreak,R,Left-hand bat,L,30/06/97,0,India
6552,Vijesh Prabhudessai,Right-arm medium,R,Right-hand bat,R,20/02/97,0,India
6551,Felix Alemao,Right-arm medium,R,Right-hand bat,R,20/07/95,0,India
6543,Oliver Davies,Right-arm offbreak,R,Right-hand bat,R,14/10/00,0,Australia
6539,Arshad Iqbal,Right-arm medium-fast,R,Right-hand bat,R,26/12/00,0,Pakistan
6536,Muhammad Zaid,Right-arm medium-fast,R,Right-hand bat,R,23/12/99,0,Pakistan
6534,Patrick Rowe,,,Right-hand bat,R,28/01/01,0,Australia
6532,Lawrence Neil-Smith,Right-arm medium-fast,R,Right-hand bat,R,01/06/99,0,Australia
6528,Mackenzie Harvey,Right-arm medium-fast,R,Left-hand bat,L,18/09/00,0,Australia
6527,Pulkit Narang,Right-arm offbreak,R,Right-hand bat,R,18/06/94,0,India
6526,Himmat Singh,Right-arm offbreak,R,Right-hand bat,R,08/11/96,0,India
6525,Kunal Chandela,Right-arm medium,R,Right-hand bat,R,07/07/94,0,India
6523,Blessing Muzarabani,Right-arm Fast,R,Right-hand bat,R,02/10/96,0,Zimbabwe
6522,Akshay Wadkar,None,,Right-hand bat,R,09/07/94,0,India
6518,Daniel Sams,Left-arm fast-medium,L,Right-hand bat,R,27/10/92,0,Australia
6516,Karsh Kothari,Slow left-arm orthodox,L,Left-hand bat,L,29/02/96,0,India
